,"消費者物價基本分類暨項目群指數",
,,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類"
"95年3月",83.86,67.46,80.40,91.16,97.37,83.22,96.88,78.56
"95年4月",84.96,68.64,94.40,91.17,97.77,83.44,96.84,79.48
"95年5月",85.73,70.21,93.29,91.25,99.07,83.46,96.84,80.95
"95年6月",86.13,71.55,90.20,91.88,99.08,83.55,97.04,79.41
"95年7月",86.32,72.09,86.27,92.23,100.10,83.51,97.20,78.81
"95年8月",85.80,70.96,82.24,92.42,100.34,83.48,97.24,78.25
"95年9月",85.33,69.93,80.46,92.63,99.71,83.55,96.83,78.51
"95年10月",85.31,69.36,91.16,91.92,98.74,83.88,96.86,78.65
"95年11月",85.24,68.84,95.16,91.92,98.36,83.89,96.83,78.39
"95年12月",85.42,69.25,92.42,92.05,99.26,83.96,96.84,78.54
"96年",86.79,71.61,90.24,92.64,100.41,87.17,97.57,80.45
"96年1月",85.24,69.46,87.95,92.08,98.22,83.91,96.82,79.01
"96年2月",85.56,68.08,83.91,92.13,98.93,84.04,98.80,85.50
"96年3月",84.56,67.63,80.56,92.09,99.07,84.99,97.14,79.83
"96年4月",85.54,68.21,95.45,92.10,99.67,86.17,97.19,80.43
"96年5月",85.71,68.51,95.15,92.19,99.64,88.07,97.17,80.39
"96年6月",86.24,69.40,92.35,93.13,99.97,87.90,97.49,80.49
"96年7月",86.04,68.81,88.57,93.20,101.17,88.22,98.03,79.64
"96年8月",87.18,72.60,85.15,93.27,101.11,88.46,97.88,79.73
"96年9月",87.99,75.33,83.24,93.33,100.44,88.64,97.49,80.43
"96年10月",89.86,79.43,96.67,92.66,101.66,88.70,97.67,79.96
"96年11月",89.33,77.47,97.79,92.70,102.50,88.55,97.55,79.97
"96年12月",88.26,74.41,96.04,92.78,102.58,88.36,97.66,80.06
"97年",89.86,77.73,91.14,94.06,102.79,89.24,98.85,81.65
"97年1月",87.75,73.09,90.24,92.81,102.64,88.60,98.11,80.17
"97年2月",88.87,74.68,85.30,93.32,103.10,88.66,99.66,84.62
"97年3月",87.91,73.93,83.57,93.11,102.86,88.97,97.62,81.23
"97年4月",88.86,74.83,96.42,93.21,103.60,89.12,98.05,81.56
"97年5月",88.90,74.88,96.99,93.32,103.60,89.17,98.09,81.25
"97年6月",90.53,77.64,93.69,94.75,106.46,89.14,98.69,82.04
"97年7月",91.04,78.17,89.45,95.07,108.12,89.25,100.12,81.80
"97年8月",91.27,80.02,85.34,95.13,106.59,89.49,100.06,81.19
"97年9月",90.72,79.58,83.56,95.23,103.95,89.57,99.29,81.96
"97年10月",92.00,83.83,97.25,94.68,100.91,89.53,99.36,81.25
"97年11月",91.05,82.83,98.12,94.36,96.77,89.67,98.77,81.19
"97年12月",89.38,79.32,93.77,93.76,94.89,89.66,98.42,81.55
"98年",89.07,77.39,90.49,93.75,98.68,89.76,97.09,83.59
"98年1月",89.04,76.96,88.12,93.82,95.93,89.30,99.61,85.19
"98年2月",87.68,75.24,83.74,93.54,95.78,89.51,97.56,82.13
"98年3月",87.78,75.75,81.98,93.51,96.08,89.50,97.30,82.24
"98年4月",88.45,75.95,95.44,93.37,97.35,89.56,97.35,82.26
